gender,weight,height,age,activity,goal,target_weight,days,calories,protein,carbs,fat
female,99,169,42,low,lose_weight,81,34,1396,206,52,40
male,69,175,49,low,gain_weight,88,140,2274,150,281,60
female,79,166,43,moderate,gain_weight,81,49,2566,144,338,70
male,90,158,34,moderate,lose_weight,74,65,2032,178,206,55
male,90,188,26,moderate,gain_weight,98,81,3427,167,448,107
female,93,185,27,low,build_muscle,116,40,2452,172,312,56
male,89,155,22,moderate,lose_weight,77,158,2114,154,253,53
female,77,168,45,low,lose_weight,54,134,925,124,58,21
male,86,183,41,high,gain_weight,105,159,3589,158,540,88
male,54,174,34,high,gain_weight,68,127,2847,95,426,84
male,75,162,33,low,build_muscle,92,66,2286,162,244,72
female,55,164,37,low,lose_weight,49,126,1108,89,113,33
male,96,181,38,low,lose_weight,84,148,1713,159,171,43
male,72,183,28,low,gain_weight,84,103,2464,125,339,66
male,79,172,29,high,gain_weight,84,171,3370,127,494,98
female,84,168,41,low,lose_weight,63,45,1079,175,29,28
female,55,153,33,moderate,lose_weight,35,132,1212,105,123,33
female,97,163,35,moderate,lose_weight,72,87,1958,209,136,63
female,77,183,36,moderate,build_muscle,85,54,2714,149,341,83
female,79,160,28,low,gain_weight,89,129,2218,170,227,69
female,92,190,21,high,lose_weight,58,171,2457,175,303,59
female,65,153,38,high,build_muscle,69,64,2470,111,323,81
male,66,183,18,low,build_muscle,76,70,2445,108,329,77
male,84,183,34,low,lose_weight,58,80,1453,165,99,43
male,57,172,48,low,lose_weight,47,52,914,110,70,21
male,89,187,29,high,build_muscle,109,144,3606,170,470,116
male,62,154,42,moderate,build_muscle,72,49,2530,129,357,64
male,100,152,50,low,lose_weight,67,129,1300,192,59,32
male,80,176,19,high,build_muscle,92,116,3460,130,552,81
female,83,168,47,moderate,lose_weight,69,180,1769,159,158,55
male,72,171,36,high,gain_weight,86,95,3121,136,470,76
female,96,165,31,low,gain_weight,121,137,2418,194,237,76
male,78,165,49,moderate,gain_weight,87,85,2804,134,362,90
female,87,185,20,low,gain_weight,107,53,2300,184,262,56
male,84,154,34,low,build_muscle,96,54,2254,172,239,67
male,72,185,35,moderate,build_muscle,78,72,2873,121,436,71
male,61,182,36,high,gain_weight,69,172,3067,132,480,68
male,98,151,30,high,lose_weight,61,149,2426,187,262,69
female,98,161,25,low,build_muscle,117,105,2315,187,220,76
male,77,189,24,high,build_muscle,99,38,3500,149,532,85
female,64,183,46,low,build_muscle,81,117,1869,139,194,59
female,99,171,45,moderate,lose_weight,67,38,1970,216,145,58
female,54,173,26,moderate,gain_weight,59,87,2322,115,345,53
female,91,170,46,high,lose_weight,86,39,1981,194,156,63
female,74,190,20,moderate,gain_weight,93,134,2908,131,402,85
male,60,151,41,high,gain_weight,73,156,2665,127,402,60
male,95,178,37,low,build_muscle,110,107,2513,187,256,81
female,68,173,50,moderate,gain_weight,78,178,2347,131,299,69
female,61,153,44,moderate,gain_weight,74,81,2091,127,254,62
male,75,154,23,high,lose_weight,46,156,2121,162,247,53
male,70,169,24,high,build_muscle,84,150,3258,138,458,96
male,67,161,43,low,build_muscle,79,173,1951,142,212,59
female,51,158,46,high,lose_weight,38,108,1252,107,119,38
male,91,163,50,high,lose_weight,76,136,2275,165,233,75
male,83,185,44,moderate,gain_weight,91,91,3128,158,404,97
female,71,166,32,moderate,lose_weight,58,150,1621,155,140,48
female,98,155,30,high,lose_weight,80,134,2163,193,221,55
female,65,153,30,moderate,build_muscle,81,77,2355,128,284,77
female,83,161,33,high,gain_weight,102,168,2839,173,333,90
female,92,187,42,high,gain_weight,115,127,3222,175,438,85
female,82,173,19,moderate,gain_weight,105,147,2825,177,342,82
male,89,152,35,low,build_muscle,98,134,2170,180,204,70
male,62,173,49,low,gain_weight,72,149,2149,135,293,48
male,69,172,20,low,build_muscle,89,152,2355,116,330,62
male,63,158,41,moderate,lose_weight,57,54,1523,104,169,47
female,70,189,47,moderate,build_muscle,79,33,2744,149,337,88
female,83,184,34,high,build_muscle,93,53,3285,148,451,98
male,77,179,45,high,lose_weight,70,104,2311,166,286,55
male,74,188,38,high,gain_weight,78,108,3323,139,479,94
male,89,185,25,low,lose_weight,54,34,1542,155,132,43
female,79,174,47,moderate,gain_weight,83,112,2606,172,290,83
female,53,154,39,low,lose_weight,41,85,681,97,35,16
male,95,164,49,high,gain_weight,103,36,3236,156,433,97
female,77,151,38,low,build_muscle,95,58,1906,130,209,60
male,56,162,29,high,build_muscle,63,172,2763,108,429,68
male,51,190,47,moderate,lose_weight,37,66,1641,96,192,54
female,73,157,48,moderate,gain_weight,82,57,2387,145,326,55
male,83,173,50,high,lose_weight,53,177,2122,147,228,68
male,89,161,36,low,build_muscle,107,111,2403,192,280,56
female,82,159,44,high,gain_weight,95,133,2789,167,337,85
female,67,190,46,low,gain_weight,73,34,2012,112,282,47
female,66,152,36,high,gain_weight,74,132,2385,107,341,65
male,89,160,21,moderate,gain_weight,106,130,3071,173,439,69
female,98,157,47,moderate,gain_weight,114,41,2762,180,333,78
female,95,179,41,moderate,build_muscle,122,160,2985,160,425,71
female,79,186,24,moderate,gain_weight,87,48,2940,140,409,82
female,89,161,18,moderate,build_muscle,115,51,2999,178,379,85
female,76,183,41,moderate,gain_weight,85,157,2605,141,338,76
female,74,187,40,moderate,build_muscle,85,77,2616,159,317,78
female,53,175,28,low,gain_weight,61,117,1964,92,288,49
male,70,163,46,low,lose_weight,42,125,1160,139,90,26
female,62,159,42,high,lose_weight,57,140,1813,134,183,60
female,87,177,47,low,build_muscle,98,100,2257,150,297,51
male,77,152,33,moderate,gain_weight,95,144,2697,157,351,73
female,74,159,50,moderate,build_muscle,90,50,2501,159,300,73
female,63,166,42,high,gain_weight,71,56,2655,130,349,81
female,56,158,35,low,gain_weight,62,169,1706,123,189,50
male,55,178,49,moderate,lose_weight,33,138,1512,107,180,40
female,84,155,31,high,lose_weight,59,64,1891,166,204,45
male,80,178,20,high,build_muscle,87,75,3489,154,508,92
female,90,156,43,low,lose_weight,74,97,1033,186,0,32
female,100,182,42,high,lose_weight,76,176,2276,180,246,63
male,95,182,24,low,gain_weight,98,113,2699,177,338,70
female,71,189,29,high,lose_weight,63,66,2085,148,216,69
male,52,165,46,high,gain_weight,67,71,2644,99,394,74
female,80,167,46,moderate,lose_weight,75,120,1832,157,166,59
male,77,165,41,moderate,lose_weight,57,56,1710,128,171,56
female,90,160,26,moderate,gain_weight,113,47,2910,165,406,69
male,76,163,27,low,build_muscle,89,73,2216,130,293,57
male,52,187,35,high,build_muscle,55,158,3066,92,515,70
male,72,160,37,low,gain_weight,74,55,2165,148,284,48
female,54,158,34,high,gain_weight,57,156,2470,100,335,80
male,88,184,47,high,gain_weight,102,56,3409,150,528,77
male,65,161,38,high,lose_weight,47,89,1935,117,234,58
male,94,177,45,high,gain_weight,100,123,3497,180,511,80
female,62,189,33,high,lose_weight,43,62,1777,122,192,57
male,61,153,29,low,build_muscle,69,170,2108,119,259,66
female,83,167,33,low,build_muscle,100,63,2188,147,252,65
female,85,179,39,high,gain_weight,87,138,3103,175,382,97
male,80,154,18,low,build_muscle,101,107,2371,164,264,72
female,87,183,43,moderate,build_muscle,105,163,2831,157,375,77
male,89,190,27,moderate,lose_weight,82,172,2762,173,379,61
female,58,161,49,low,build_muscle,75,91,1903,92,249,59
male,56,151,22,low,build_muscle,62,83,2023,96,274,59
female,86,181,40,high,gain_weight,95,149,3085,179,435,69
male,86,178,30,moderate,build_muscle,108,92,3268,185,411,97
female,100,155,23,high,gain_weight,111,95,3318,201,421,92
female,97,159,24,moderate,build_muscle,110,170,3032,199,390,74
female,69,174,20,high,lose_weight,63,173,2408,143,326,58
male,89,170,26,low,lose_weight,73,170,1484,190,104,33
male,60,160,28,low,build_muscle,71,46,2007,110,251,62
female,63,170,23,low,gain_weight,66,109,2004,132,256,49
male,72,189,31,moderate,gain_weight,79,138,3131,136,468,78
male,78,155,28,low,lose_weight,58,58,1155,152,75,26
female,69,158,35,moderate,gain_weight,74,71,2327,144,302,60
male,53,181,37,moderate,gain_weight,63,172,2658,114,406,63
male,63,150,36,low,lose_weight,41,137,956,128,50,26
female,52,169,33,low,build_muscle,54,101,1938,109,276,43
female,60,180,28,low,lose_weight,42,99,1058,120,64,35
female,89,152,46,high,gain_weight,114,45,2945,190,350,86
female,64,182,25,low,lose_weight,39,153,1061,108,87,30
female,52,187,40,low,lose_weight,43,94,929,85,79,30
female,93,155,35,high,lose_weight,60,88,2072,151,253,50
female,88,163,39,low,lose_weight,82,170,1547,181,95,48
female,51,170,25,low,build_muscle,61,90,1833,103,222,59
male,56,183,50,high,gain_weight,71,97,2877,120,402,87
male,64,180,48,high,build_muscle,81,41,2962,124,422,86
male,51,151,31,moderate,build_muscle,53,79,2237,89,356,50
female,82,168,41,moderate,gain_weight,98,138,2533,138,309,82
male,58,185,33,low,lose_weight,34,67,1133,95,123,28
male,65,184,32,high,gain_weight,67,77,3170,113,491,83
male,69,168,48,moderate,lose_weight,42,165,1637,145,165,43
female,53,160,32,high,lose_weight,45,46,1377,92,154,43
male,78,166,27,low,gain_weight,89,121,2248,148,255,70
male,54,153,39,low,build_muscle,57,112,1937,114,241,56
female,58,158,39,high,lose_weight,41,93,1443,97,172,40
male,91,186,39,moderate,lose_weight,56,89,2151,194,221,54
female,83,151,27,low,gain_weight,90,76,2035,150,218,61
female,74,154,36,low,gain_weight,83,175,1938,139,238,47
male,56,188,45,low,gain_weight,67,128,2012,120,243,61
male,81,156,19,moderate,lose_weight,75,37,1829,155,200,45
male,74,189,39,moderate,lose_weight,49,168,2069,153,219,63
female,81,188,33,low,lose_weight,56,80,1224,164,50,40
male,52,175,30,moderate,gain_weight,59,69,2515,95,391,63
male,65,173,25,moderate,build_muscle,67,155,2699,139,344,85
male,73,186,26,moderate,gain_weight,90,165,2978,143,424,78
male,79,153,47,low,build_muscle,92,42,2000,152,246,44
male,75,186,33,low,lose_weight,54,54,1355,132,122,37
female,60,150,48,low,build_muscle,74,79,1685,116,217,38
male,61,153,41,moderate,lose_weight,56,91,1645,123,202,37
male,90,180,48,low,gain_weight,112,174,2418,157,287,70
male,84,172,45,high,gain_weight,97,45,3158,158,446,81
male,96,172,23,moderate,build_muscle,124,147,3227,185,435,82
male,57,160,44,moderate,build_muscle,71,67,2315,125,337,51
female,88,180,27,low,build_muscle,109,107,2229,154,280,54
female,93,150,38,moderate,gain_weight,96,95,2607,181,320,66
male,81,176,32,moderate,build_muscle,98,170,2989,167,368,93
male,59,189,35,high,gain_weight,70,172,2984,102,485,70
male,69,155,22,moderate,lose_weight,54,140,1640,116,211,36
male,59,173,28,low,lose_weight,51,36,1139,108,96,35
female,96,180,20,low,lose_weight,58,94,1468,173,113,35
female,64,179,19,high,gain_weight,81,44,2892,120,442,70
male,78,160,37,moderate,build_muscle,83,32,2798,138,364,87
female,51,175,41,high,build_muscle,56,57,2600,85,434,58
male,85,176,40,moderate,lose_weight,51,99,1924,146,231,45
male,54,165,48,moderate,build_muscle,60,79,2346,114,349,54
male,84,180,24,low,build_muscle,105,44,2652,150,364,65
female,60,164,27,moderate,gain_weight,70,145,2295,124,291,69
male,50,155,38,high,lose_weight,31,95,1414,96,152,46
female,97,171,35,moderate,gain_weight,102,159,2978,207,373,72
female,52,150,27,moderate,lose_weight,34,88,1002,102,80,30
female,55,150,35,low,gain_weight,63,146,1793,91,249,47
male,75,158,30,low,build_muscle,90,43,2122,164,214,67
female,94,155,41,low,build_muscle,112,113,2169,199,210,58
male,91,162,50,low,lose_weight,75,72,1354,184,74,35
female,66,174,18,moderate,lose_weight,58,156,1854,119,209,59
male,58,182,48,moderate,build_muscle,64,35,2487,110,355,69
female,50,181,21,moderate,build_muscle,62,45,2404,83,338,79
female,74,150,24,high,lose_weight,57,33,1656,140,189,37
female,86,183,41,low,build_muscle,96,51,2373,187,249,69
female,71,178,37,low,lose_weight,51,162,1140,124,83,34
female,68,182,41,moderate,lose_weight,44,95,1572,141,137,50
male,63,164,50,high,gain_weight,71,52,2754,114,377,87
female,52,176,29,moderate,build_muscle,64,105,2466,106,366,63
male,54,165,23,moderate,build_muscle,60,91,2554,91,400,65
female,50,158,40,high,lose_weight,33,42,1182,80,143,31
female,86,167,38,moderate,lose_weight,66,115,1664,184,117,50
male,92,171,32,low,gain_weight,110,53,2535,181,283,75
female,68,166,41,low,gain_weight,88,84,2013,141,211,66
female,51,186,38,high,gain_weight,61,128,2641,108,386,73
female,80,182,47,moderate,build_muscle,98,149,2743,129,368,83
female,97,164,32,high,build_muscle,106,71,3347,165,453,96
female,89,182,35,high,build_muscle,92,168,3213,159,443,89
female,56,178,30,high,lose_weight,40,164,1553,103,194,39
female,81,189,23,moderate,lose_weight,71,120,1922,140,209,58
male,55,177,27,moderate,gain_weight,59,101,2600,98,383,74
female,63,166,29,moderate,gain_weight,73,123,2354,107,335,64
female,72,181,29,high,build_muscle,76,83,3067,117,473,77
male,57,181,24,low,build_muscle,69,174,2349,103,309,77
male,51,169,37,low,build_muscle,57,53,2071,104,275,61
female,73,169,45,moderate,gain_weight,80,67,2595,119,384,64
female,73,159,49,high,build_muscle,87,96,2551,123,366,65
male,77,164,23,moderate,build_muscle,97,122,2924,142,379,93
female,81,162,33,high,lose_weight,58,61,1819,170,161,54
female,60,181,24,low,build_muscle,70,115,2004,123,240,60
female,67,157,22,high,lose_weight,56,168,1866,131,229,47
female,70,158,25,high,build_muscle,77,145,2581,115,394,60
male,66,152,25,low,lose_weight,39,36,1048,114,89,25
male,55,178,19,low,build_muscle,57,60,2290,90,325,69
female,89,162,44,low,build_muscle,97,165,2267,151,266,66
female,55,153,37,moderate,build_muscle,66,145,2041,94,291,55
female,77,157,45,moderate,gain_weight,97,102,2444,139,329,63
male,77,165,34,high,gain_weight,84,174,3080,150,452,74
female,67,159,28,moderate,gain_weight,80,147,2360,136,326,56
female,80,181,37,low,build_muscle,103,180,2248,157,266,61
female,81,170,27,moderate,build_muscle,94,163,2795,145,355,87
female,54,158,22,high,gain_weight,63,51,2501,95,347,81
female,79,177,47,low,lose_weight,48,83,1140,137,77,31
female,51,165,35,moderate,gain_weight,63,124,2129,97,288,65
male,54,165,31,low,gain_weight,65,82,2015,96,281,55
male,88,169,28,moderate,lose_weight,60,123,2025,187,203,51
female,67,178,23,moderate,build_muscle,70,126,2742,139,402,63
female,58,167,23,high,gain_weight,61,116,2689,98,402,75
female,50,178,49,moderate,build_muscle,61,113,2127,97,322,49
male,87,186,28,low,lose_weight,80,158,1958,168,209,49
male,67,174,36,high,build_muscle,83,103,3108,133,486,69
female,95,183,22,low,lose_weight,79,96,1426,203,61,40
female,68,189,19,low,gain_weight,77,50,2241,142,290,56
male,91,159,36,moderate,lose_weight,55,116,2062,184,213,52
male,92,159,19,low,build_muscle,95,93,2427,193,275,61
female,83,152,37,high,gain_weight,90,127,2760,164,377,66
female,51,168,41,high,gain_weight,53,45,2423,90,339,78
female,56,176,48,high,lose_weight,43,65,1458,95,160,48
male,69,162,24,moderate,build_muscle,84,42,2662,151,358,69
female,61,158,18,moderate,build_muscle,68,134,2326,113,297,75
male,96,169,20,moderate,gain_weight,114,127,3276,165,464,83
male,75,158,42,high,build_muscle,80,112,2814,145,352,91
male,92,178,45,moderate,build_muscle,101,144,3138,194,399,84
male,53,153,47,high,lose_weight,39,45,1434,90,183,37
female,57,161,20,high,gain_weight,68,76,2527,124,342,73
female,77,163,28,moderate,gain_weight,85,131,2707,142,382,67
female,69,167,35,low,lose_weight,60,60,886,141,23,24
male,77,159,36,high,build_muscle,86,85,3124,144,453,81
female,54,182,50,high,lose_weight,36,59,1485,92,184,42
male,61,190,34,low,build_muscle,76,154,2393,107,330,71
male,73,182,29,low,build_muscle,94,56,2481,139,316,72
female,77,150,33,moderate,gain_weight,98,101,2321,148,268,72
male,55,171,44,low,gain_weight,62,56,2044,100,292,52
female,61,181,26,high,lose_weight,40,163,1876,116,225,56
female,52,180,18,high,lose_weight,38,36,1628,103,184,52
male,84,165,37,low,gain_weight,89,136,2347,161,262,72
female,53,172,47,low,build_muscle,65,59,1685,99,232,39
male,61,152,35,high,build_muscle,73,176,2784,120,404,76
male,61,179,26,moderate,build_muscle,72,127,2804,114,439,65
female,96,183,50,high,gain_weight,114,140,3280,162,430,101
male,82,161,40,low,lose_weight,55,93,1186,165,60,31
male,58,164,50,low,build_muscle,73,110,1819,95,252,47
female,77,184,41,high,gain_weight,86,43,3021,138,395,98
male,67,190,22,moderate,build_muscle,79,73,2993,115,414,97
male,86,186,30,moderate,lose_weight,68,70,2304,174,264,60
female,67,174,25,moderate,build_muscle,72,74,2691,137,375,71
female,52,162,27,high,gain_weight,62,129,2402,92,376,58
female,66,153,28,high,gain_weight,68,166,2682,130,340,88
female,96,170,39,moderate,build_muscle,122,153,2983,186,402,69
female,99,162,20,low,gain_weight,118,118,2462,190,252,76
male,61,184,36,moderate,gain_weight,75,83,2820,110,420,77
female,51,162,43,low,lose_weight,32,30,683,109,15,20
male,98,172,45,low,build_muscle,113,142,2475,208,273,60
male,91,177,18,moderate,lose_weight,57,143,2393,179,261,70
male,84,154,26,moderate,build_muscle,89,137,3016,181,399,76
female,80,155,28,moderate,lose_weight,52,175,1595,146,158,41
female,76,169,28,high,lose_weight,53,36,2000,164,204,58
male,92,174,28,low,gain_weight,114,137,2542,155,325,69
female,100,154,39,moderate,gain_weight,127,79,2845,166,332,94
female,74,165,48,moderate,lose_weight,68,46,1414,161,102,39
female,64,158,37,moderate,build_muscle,73,157,2203,129,303,52
female,97,153,42,low,build_muscle,113,69,2161,173,257,48
male,64,179,40,high,build_muscle,77,51,3024,112,424,97
female,70,160,47,low,gain_weight,88,131,1884,129,242,43
female,76,159,48,low,lose_weight,50,162,954,160,26,22
female,81,161,28,moderate,gain_weight,90,81,2643,133,355,76
male,70,168,47,high,lose_weight,55,139,1969,145,231,51
male,82,174,32,moderate,gain_weight,90,99,3032,133,435,84
female,84,159,21,low,gain_weight,94,75,2279,149,283,60
female,78,160,27,low,gain_weight,82,173,2193,148,247,67
female,52,182,45,low,build_muscle,63,128,2014,99,292,49
female,59,159,49,low,build_muscle,61,90,1790,112,203,58
female,91,157,42,low,lose_weight,59,128,1082,148,41,35
male,83,186,24,moderate,gain_weight,103,35,3247,177,404,101
female,88,165,41,high,build_muscle,104,74,2989,160,368,96
male,60,161,31,low,gain_weight,77,73,2023,127,226,67
male,58,180,24,low,lose_weight,51,97,1325,121,125,37
female,94,158,35,high,lose_weight,84,74,1977,202,179,50
male,69,176,46,moderate,build_muscle,89,132,2749,129,411,64
female,54,188,25,moderate,build_muscle,70,57,2504,88,367,75
female,98,169,36,high,lose_weight,62,30,2255,196,243,54
female,76,187,49,high,gain_weight,98,48,2970,121,420,89
female,59,154,30,moderate,build_muscle,72,149,2245,96,343,53
male,65,169,37,moderate,gain_weight,79,128,2744,119,371,86
female,98,173,31,moderate,gain_weight,102,109,3077,185,389,86
male,62,177,41,low,lose_weight,47,35,1183,113,99,37
male,53,174,48,high,lose_weight,32,59,1686,100,215,47
male,60,180,30,high,build_muscle,66,166,3105,99,504,76
male,50,164,24,moderate,gain_weight,56,49,2511,95,368,73
female,82,165,41,moderate,build_muscle,95,177,2581,169,333,62
male,93,150,44,moderate,gain_weight,111,154,2938,182,368,81
male,63,177,42,moderate,gain_weight,66,86,2643,109,399,67
male,53,177,29,moderate,build_muscle,67,70,2583,106,384,68
male,79,163,22,low,build_muscle,87,138,2398,150,324,55
female,82,153,39,low,lose_weight,62,170,1005,155,33,27
male,89,179,42,low,gain_weight,113,124,2531,154,320,70
male,54,182,47,high,lose_weight,46,170,2044,89,278,63
male,65,151,28,low,build_muscle,83,138,1937,126,230,56
female,72,159,20,moderate,build_muscle,75,163,2685,131,359,80
female,92,151,37,moderate,gain_weight,94,57,2654,148,334,80
male,74,175,44,moderate,gain_weight,96,123,2753,128,362,87
male,76,159,47,low,lose_weight,56,176,1175,131,84,34
female,98,188,20,high,build_muscle,102,150,3543,193,460,103
male,78,181,37,low,build_muscle,97,57,2460,140,331,63
male,81,169,28,high,gain_weight,101,103,3284,175,478,74
female,65,182,37,low,lose_weight,51,135,990,133,54,26
male,81,186,41,low,gain_weight,85,172,2496,177,313,58
female,61,153,37,moderate,gain_weight,77,54,2263,110,289,73
female,95,166,27,low,lose_weight,78,36,1264,196,25,41
female,83,188,23,low,gain_weight,93,32,2466,169,277,75
male,69,178,35,moderate,gain_weight,74,106,2942,142,372,98
female,95,175,36,low,lose_weight,65,34,1249,205,38,30
female,61,174,46,high,gain_weight,64,59,2474,113,329,77
female,86,171,45,moderate,gain_weight,89,91,2656,149,363,67
female,92,186,45,moderate,build_muscle,118,42,2898,149,424,66
female,91,152,47,low,build_muscle,108,63,2192,169,214,73
male,92,152,46,high,build_muscle,98,137,3200,185,405,92
male,78,170,42,high,build_muscle,99,99,3114,125,482,75
male,94,176,43,low,gain_weight,120,39,2504,180,281,72
female,63,151,29,moderate,gain_weight,66,146,2314,113,348,51
female,50,160,39,moderate,build_muscle,64,105,2154,80,309,66
female,90,158,23,low,gain_weight,92,147,2358,197,262,57
male,56,163,40,low,gain_weight,68,139,2123,110,265,68
male,70,165,35,low,gain_weight,84,95,2330,138,300,63
female,93,179,41,moderate,lose_weight,88,128,2355,200,269,52
male,76,178,25,high,gain_weight,94,85,3403,163,437,111
female,61,154,37,low,gain_weight,78,113,1894,104,241,56
male,54,153,24,low,lose_weight,37,97,884,109,54,25
female,91,169,27,high,build_muscle,115,139,3155,153,460,77
male,90,164,47,low,build_muscle,109,146,2270,179,265,54
male,99,187,45,moderate,gain_weight,104,67,3233,215,388,91
male,64,185,29,low,lose_weight,52,146,1418,128,143,36
female,73,169,25,moderate,lose_weight,67,129,2034,150,249,48
female,99,164,31,moderate,gain_weight,128,52,3044,199,336,100
male,94,161,38,low,lose_weight,56,170,1369,200,57,37
male,69,167,35,moderate,build_muscle,81,31,2806,128,387,82
male,77,165,40,low,gain_weight,91,124,2232,137,282,61
female,93,186,24,high,gain_weight,102,85,3585,182,460,112
female,89,186,24,moderate,build_muscle,100,141,3049,184,406,76
male,99,168,46,low,lose_weight,83,111,1464,171,112,36
female,68,167,39,moderate,lose_weight,59,111,1413,124,125,46
male,64,167,24,high,gain_weight,70,122,3159,124,473,84
male,84,165,18,moderate,gain_weight,105,57,2984,172,360,94
male,63,177,50,high,lose_weight,57,145,2322,111,336,59
female,52,154,38,high,lose_weight,35,88,1217,106,136,27
female,53,184,27,high,gain_weight,63,86,2852,111,411,84
female,56,158,39,moderate,gain_weight,58,47,2110,114,273,62
female,85,179,44,high,build_muscle,96,63,3168,176,428,82
female,87,153,39,high,lose_weight,61,159,1934,171,180,58
female,50,166,22,low,lose_weight,31,30,767,97,48,20
female,56,164,30,moderate,build_muscle,68,132,2263,111,332,54
female,68,173,25,high,build_muscle,72,51,2893,144,375,90
male,69,175,49,low,lose_weight,45,160,1085,111,104,24
female,75,170,28,high,build_muscle,82,63,2979,131,463,66
female,61,154,50,moderate,gain_weight,63,50,2062,119,285,49
male,59,174,19,high,gain_weight,65,34,3124,99,524,69
male,84,168,41,low,lose_weight,73,85,1422,154,101,44
